日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-01,'000928,中钢国际,6.62,6.75,6.24,6.29,6.18,0.44,7.1197,7.3294,54469278,354851413.48,8319108676.04,4919707707.68
2019-03-29,'000928,中钢国际,6.18,6.18,5.81,5.94,5.9,0.28,4.7458,4.5646,33921911,204642396.69,7766176981.56,4592718071.52
2019-03-28,'000928,中钢国际,5.9,6.1,5.86,5.89,6.01,-0.11,-1.8303,3.469,25779921,154415145.88,7414311357.8,4384633757.6
2019-03-27,'000928,中钢国际,6.01,6.18,5.72,6.15,6.12,-0.11,-1.7974,5.3067,39437001,233310637.47,7552544281.42,4466381166.64
2019-03-26,'000928,中钢国际,6.12,6.3,6.05,6.26,6.25,-0.13,-2.08,4.2943,31913815,195394396.96,7690777205.04,4548128575.68
2019-03-25,'000928,中钢国际,6.25,6.44,6.12,6.18,6.3,-0.05,-0.7937,5.3748,39943103,251917976.7,7854143387.5,4644739150.0
2019-03-22,'000928,中钢国际,6.3,6.5,6.01,6.46,6.5,-0.2,-3.0769,8.5082,63229534,394590918.87,7916976534.6,4681897063.2
2019-03-21,'000928,中钢国际,6.5,6.83,6.39,6.51,6.68,-0.18,-2.6946,10.3808,77145858,506665745.86,8168309123.0,4830528716.0
2019-03-20,'000928,中钢国际,6.68,6.89,6.17,6.18,6.27,0.41,6.5391,13.0014,96620786,630287710.94,8394508452.56,4964297203.52
2019-03-19,'000928,中钢国际,6.27,6.59,6.15,6.4,6.03,0.24,3.9801,14.7978,109971165,697282289.97,7879276646.34,4659602315.28
2019-03-18,'000928,中钢国际,6.03,6.03,5.48,5.5,5.48,0.55,10.0365,4.6131,34282332,198887899.98,7577677540.26,4481244331.92
2019-03-15,'000928,中钢国际,5.48,5.59,5.23,5.23,5.08,0.4,7.874,8.0341,59705807,327134563.34,6886512922.16,4072507286.72
2019-03-14,'000928,中钢国际,5.08,5.19,4.97,5.17,5.2,-0.12,-2.3077,2.3622,17555025,88837668.92,6383847745.36,3775243981.12
2019-03-13,'000928,中钢国际,5.2,5.41,5.18,5.39,5.34,-0.14,-2.6217,2.6416,19631280,103773347.94,6534647298.4,3864422972.8
2019-03-12,'000928,中钢国际,5.34,5.42,5.22,5.26,5.17,0.17,3.2882,4.1636,30941891,165111578.98,6710580110.28,3968465129.76
2019-03-11,'000928,中钢国际,5.17,5.17,4.98,4.98,4.95,0.22,4.4444,2.3385,17379010,88604661.33,6496947410.14,3842128224.88
2019-03-08,'000928,中钢国际,4.95,5.27,4.95,5.2,5.27,-0.32,-6.0721,3.6312,26985703,138032913.83,6220481562.9,3678633406.8
2019-03-07,'000928,中钢国际,5.27,5.34,5.2,5.27,5.29,-0.02,-0.3781,3.2096,23852488,125557921.46,6622613704.34,3916444051.28
2019-03-06,'000928,中钢国际,5.29,5.36,5.16,5.23,5.28,0.01,0.1894,3.5642,26487437,139071583.01,6647746963.18,3931307216.56
2019-03-05,'000928,中钢国际,5.28,5.35,4.99,5.07,5.04,0.24,4.7619,4.5902,34112163,177326540.41,6635180333.76,3923875633.92
2019-03-04,'000928,中钢国际,5.04,5.12,4.96,5.0,4.97,0.07,1.4085,3.1939,23735680,119970950.88,6333581227.68,3745517650.56
2019-03-01,'000928,中钢国际,4.97,5.01,4.88,5.0,5.02,-0.05,-0.996,2.7135,20165836,99687699.88,6245614821.74,3693496572.08
2019-02-28,'000928,中钢国际,5.02,5.2,4.94,4.97,4.95,0.07,1.4141,3.8744,28792811,145689924.79,6308447968.84,3730654485.28
2019-02-27,'000928,中钢国际,4.95,5.09,4.87,4.94,4.92,0.03,0.6098,4.0584,30160416,150002462.71,6220481562.9,3678633406.8
2019-02-26,'000928,中钢国际,4.92,5.15,4.73,4.83,4.82,0.1,2.0747,4.5823,34053431,169190097.24,6182781674.64,3656338658.88
2019-02-25,'000928,中钢国际,4.82,4.83,4.6,4.6,4.56,0.26,5.7018,3.627,26954002,127447497.54,6057115380.44,3582022832.48
2019-02-22,'000928,中钢国际,4.56,4.57,4.45,4.47,4.47,0.09,2.0134,1.8689,13889031,62949027.04,5730383015.52,3388801683.84
2019-02-21,'000928,中钢国际,4.47,4.6,4.43,4.57,4.54,-0.07,-1.5419,1.9611,14574433,65922385.12,5617283350.74,3321917440.08
2019-02-20,'000928,中钢国际,4.54,4.63,4.5,4.53,4.53,0.01,0.2208,1.5701,11668096,53075373.4,5705249756.68,3373938518.56
2019-02-19,'000928,中钢国际,4.53,4.58,4.45,4.52,4.51,0.02,0.4435,2.0254,15051882,68040590.32,5692683127.26,3366506935.92
2019-02-18,'000928,中钢国际,4.51,4.55,4.4,4.4,4.39,0.12,2.7335,2.1917,16287776,72815589.38,5667549868.42,3351643770.64
2019-02-15,'000928,中钢国际,4.39,4.45,4.38,4.38,4.42,-0.03,-0.6787,1.1861,8814952,38893101.02,5516750315.38,3262464778.96
2019-02-14,'000928,中钢国际,4.42,4.49,4.38,4.46,4.48,-0.06,-1.3393,1.7874,13283264,58781892.12,5554450203.64,3284759526.88
2019-02-13,'000928,中钢国际,4.48,4.49,4.32,4.32,4.32,0.16,3.7037,2.3681,17598585,77194490.65,5629849980.16,3329349022.72
2019-02-12,'000928,中钢国际,4.32,4.34,4.26,4.27,4.27,0.05,1.171,0.7085,5265114,22681140.3,5428783909.44,3210443700.48
2019-02-11,'000928,中钢国际,4.27,4.3,4.18,4.18,4.18,0.09,2.1531,0.699,5194734,22128255.52,5365950762.34,3173285787.28
2019-02-01,'000928,中钢国际,4.18,4.19,4.1,4.1,4.1,0.08,1.9512,0.4744,3525876,14670846.28,5252851097.56,3106401543.52
2019-01-31,'000928,中钢国际,4.1,4.2,4.07,4.18,4.14,-0.04,-0.9662,0.441,3277667,13539248.63,5152318062.2,3046948882.4
2019-01-30,'000928,中钢国际,4.14,4.2,4.12,4.17,4.16,-0.02,-0.4808,0.3209,2385040,9915781.2,5202584579.88,3076675212.96
2019-01-29,'000928,中钢国际,4.16,4.24,4.05,4.24,4.23,-0.07,-1.6548,0.7796,5793882,24005377.68,5227717838.72,3091538378.24
2019-01-28,'000928,中钢国际,4.23,4.32,4.23,4.32,4.29,-0.06,-1.3986,0.5553,4126769,17662436.32,5315684244.66,3143559456.72
2019-01-25,'000928,中钢国际,4.29,4.36,4.29,4.35,4.36,-0.07,-1.6055,0.6361,4727400,20468504.4,5391084021.18,3188148952.56
2019-01-24,'000928,中钢国际,4.36,4.38,4.31,4.37,4.37,-0.01,-0.2288,0.46,3418860,14867597.2,5479050427.12,3240170031.04
2019-01-23,'000928,中钢国际,4.37,4.39,4.33,4.35,4.38,-0.01,-0.2283,0.3692,2743447,11970275.92,5491617056.54,3247601613.68
2019-01-22,'000928,中钢国际,4.38,4.46,4.36,4.46,4.46,-0.08,-1.7937,0.6124,4550800,20058934.6,5504183685.96,3255033196.32
2019-01-21,'000928,中钢国际,4.46,4.47,4.42,4.45,4.46,0.0,0.0,0.7521,5589334,24865179.86,5604716721.32,3314485857.44
2019-01-18,'000928,中钢国际,4.46,4.48,4.4,4.43,4.4,0.06,1.3636,0.7143,5308490,23590433.98,5604716721.32,3314485857.44
2019-01-17,'000928,中钢国际,4.4,4.47,4.4,4.45,4.44,-0.04,-0.9009,0.6489,4822357,21373254.99,5529316944.8,3269896361.6
2019-01-16,'000928,中钢国际,4.44,4.5,4.43,4.49,4.49,-0.05,-1.1136,0.6001,4460016,19873020.84,5579583462.48,3299622692.16
2019-01-15,'000928,中钢国际,4.49,4.5,4.38,4.45,4.46,0.03,0.6726,0.9395,6982081,31079211.34,5642416609.58,3336780605.36
2019-01-14,'000928,中钢国际,4.46,4.54,4.43,4.44,4.44,0.02,0.4505,1.0493,7797721,34906847.27,5604716721.32,3314485857.44
2019-01-11,'000928,中钢国际,4.44,4.45,4.36,4.37,4.37,0.07,1.6018,0.651,4838300,21381083.43,5579583462.48,3299622692.16
2019-01-10,'000928,中钢国际,4.37,4.46,4.37,4.45,4.44,-0.07,-1.5766,0.799,5938107,26183567.54,5491617056.54,3247601613.68
2019-01-09,'000928,中钢国际,4.44,4.51,4.41,4.46,4.46,-0.02,-0.4484,1.0501,7804140,34886071.36,5579583462.48,3299622692.16
2019-01-08,'000928,中钢国际,4.46,4.52,4.44,4.49,4.48,-0.02,-0.4464,0.9021,6703664,29980998.68,5604716721.32,3314485857.44
2019-01-07,'000928,中钢国际,4.48,4.48,4.38,4.4,4.38,0.1,2.2831,0.9498,7058440,31313241.8,5629849980.16,3329349022.72
2019-01-04,'000928,中钢国际,4.38,4.38,4.2,4.25,4.26,0.12,2.8169,0.7996,5942210,25720950.1,5504183685.96,3255033196.32
2019-01-03,'000928,中钢国际,4.26,4.34,4.25,4.29,4.29,-0.03,-0.6993,0.4237,3149113,13523682.8,5353384132.92,3165854204.64
2019-01-02,'000928,中钢国际,4.29,4.37,4.27,4.35,4.35,-0.06,-1.3793,0.4836,3593571,15499985.95,5391084021.18,3188148952.56
2018-12-28,'000928,中钢国际,4.35,4.35,4.22,4.23,4.23,0.12,2.8369,0.8875,6595401,28376446.08,5466483797.7,3232738448.4
2018-12-27,'000928,中钢国际,4.23,4.31,4.19,4.23,4.17,0.06,1.4388,1.1551,8584360,36553770.6,5315684244.66,3143559456.72
2018-12-26,'000928,中钢国际,4.17,4.22,4.14,4.22,4.19,-0.02,-0.4773,0.4165,3095560,12921975.0,5240284468.14,3098969960.88
2018-12-25,'000928,中钢国际,4.19,4.27,4.11,4.27,4.31,-0.12,-2.7842,0.8708,6471554,27038803.6,5265417726.98,3113833126.16
2018-12-24,'000928,中钢国际,4.31,4.36,4.17,4.35,4.38,-0.07,-1.5982,0.8604,6393871,27367960.4,5416217280.02,3203012117.84
2018-12-21,'000928,中钢国际,4.38,4.48,4.28,4.35,4.25,0.13,3.0588,1.3315,9894798,43139985.24,5504183685.96,3255033196.32
2018-12-20,'000928,中钢国际,4.25,4.28,4.17,4.23,4.21,0.04,0.9501,0.4698,3491100,14780987.06,5340817503.5,3158422622.0
2018-12-19,'000928,中钢国际,4.21,4.32,4.2,4.3,4.31,-0.1,-2.3202,0.652,4845736,20621652.48,5290550985.82,3128696291.44
2018-12-18,'000928,中钢国际,4.31,4.39,4.26,4.3,4.29,0.02,0.4662,0.6612,4913902,21229919.78,5416217280.02,3203012117.84
2018-12-17,'000928,中钢国际,4.29,4.35,4.23,4.24,4.3,-0.01,-0.2326,0.5159,3834254,16445578.11,5391084021.18,3188148952.56
2018-12-14,'000928,中钢国际,4.3,4.46,4.29,4.45,4.46,-0.16,-3.5874,1.0347,7689442,33593367.76,5403650650.6,3195580535.2
2018-12-13,'000928,中钢国际,4.46,4.49,4.27,4.36,4.34,0.12,2.765,1.3105,9738882,43193803.25,5604716721.32,3314485857.44
2018-12-12,'000928,中钢国际,4.34,4.37,4.33,4.35,4.34,0.0,0.0,0.4956,3682911,16020831.74,5453917168.28,3225306865.76
2018-12-11,'000928,中钢国际,4.34,4.36,4.31,4.35,4.29,0.05,1.1655,0.3421,2542140,11015155.2,5453917168.28,3225306865.76
2018-12-10,'000928,中钢国际,4.29,4.36,4.29,4.36,4.38,-0.09,-2.0548,0.6722,4995520,21556578.72,5391084021.18,3188148952.56
2018-12-07,'000928,中钢国际,4.38,4.42,4.35,4.37,4.38,0.0,0.0,0.5331,3961480,17372723.0,5504183685.96,3255033196.32
2018-12-06,'000928,中钢国际,4.38,4.45,4.36,4.41,4.41,-0.03,-0.6803,0.7997,5943380,26145635.4,5504183685.96,3255033196.32
2018-12-05,'000928,中钢国际,4.41,4.46,4.32,4.38,4.49,-0.08,-1.7817,1.0165,7553967,33202807.45,5541883574.22,3277327944.24
2018-12-04,'000928,中钢国际,4.49,4.56,4.46,4.48,4.46,0.03,0.6726,1.2384,9203562,41477435.45,5642416609.58,3336780605.36
2018-12-03,'000928,中钢国际,4.46,4.49,4.38,4.39,4.29,0.17,3.9627,1.3947,10364740,46016558.75,5604716721.32,3314485857.44
2018-11-30,'000928,中钢国际,4.29,4.31,4.19,4.23,4.23,0.06,1.4184,0.9616,7146012,30379962.09,5391084021.18,3188148952.56
2018-11-29,'000928,中钢国际,4.23,4.5,4.23,4.48,4.46,-0.23,-5.157,1.5475,11500152,50683350.97,5315684244.66,3143559456.72
2018-11-28,'000928,中钢国际,4.46,4.47,4.31,4.44,4.4,0.06,1.3636,1.2021,8933781,39306483.75,5604716721.32,3314485857.44
2018-11-27,'000928,中钢国际,4.4,4.47,4.36,4.43,4.43,-0.03,-0.6772,1.0912,8109701,35906637.4,5529316944.8,3269896361.6
2018-11-26,'000928,中钢国际,4.43,4.46,4.34,4.39,4.39,0.04,0.9112,1.2789,9504099,41841442.34,5567016833.06,3292191109.52
2018-11-23,'000928,中钢国际,4.39,4.65,4.34,4.62,4.64,-0.25,-5.3879,2.4826,18449834,82310559.82,5516750315.38,3262464778.96
2018-11-22,'000928,中钢国际,4.64,4.78,4.61,4.68,4.73,-0.09,-1.9027,2.1479,15962403,74634175.14,5830916050.88,3448254344.96
2018-11-21,'000928,中钢国际,4.73,4.84,4.6,4.6,4.88,-0.15,-3.0738,3.4721,25803527,121555778.06,5944015715.66,3515138588.72
2018-11-20,'000928,中钢国际,4.88,5.39,4.85,5.39,5.01,-0.13,-2.5948,7.8494,58333361,299341048.59,6132515156.96,3626612328.32
2018-11-19,'000928,中钢国际,5.01,5.01,4.5,4.53,4.55,0.46,10.1099,4.5216,33602612,160590824.43,6295881339.42,3723222902.64
2018-11-16,'000928,中钢国际,4.55,4.64,4.38,4.4,4.41,0.14,3.1746,2.7948,20769694,93676061.14,5717816386.1,3381370101.2
2018-11-15,'000928,中钢国际,4.41,4.42,4.36,4.41,4.36,0.05,1.1468,1.175,8732266,38301796.26,5541883574.22,3277327944.24
2018-11-14,'000928,中钢国际,4.36,4.43,4.32,4.34,4.34,0.02,0.4608,1.2332,9164789,40060008.64,5479050427.12,3240170031.04
2018-11-13,'000928,中钢国际,4.34,4.38,4.18,4.2,4.24,0.1,2.3585,1.6295,12109684,52126226.04,5453917168.28,3225306865.76
2018-11-12,'000928,中钢国际,4.24,4.25,4.13,4.14,4.14,0.1,2.4155,1.0155,7546840,31772586.2,5328250874.08,3150991039.36
2018-11-09,'000928,中钢国际,4.14,4.19,4.13,4.14,4.16,-0.02,-0.4808,0.5716,4247820,17656072.6,5202584579.88,3076675212.96
2018-11-08,'000928,中钢国际,4.16,4.23,4.16,4.23,4.19,-0.03,-0.716,0.6601,4905912,20539493.12,5227717838.72,3091538378.24
2018-11-07,'000928,中钢国际,4.19,4.24,4.17,4.2,4.2,-0.01,-0.2381,0.9377,6968528,29322716.19,5265417726.98,3113833126.16
2018-11-06,'000928,中钢国际,4.2,4.21,4.1,4.2,4.19,0.01,0.2387,0.9747,7243478,30165325.82,5277984356.4,3121264708.8
2018-11-05,'000928,中钢国际,4.19,4.22,4.15,4.17,4.18,0.01,0.2392,1.0344,7686905,32176011.85,5265417726.98,3113833126.16
2018-11-02,'000928,中钢国际,4.18,4.19,4.11,4.11,4.09,0.09,2.2005,1.3174,9790484,40664953.83,5252851097.56,3106401543.52
2018-11-01,'000928,中钢国际,4.09,4.15,4.08,4.12,4.1,-0.01,-0.2439,1.066,7922027,32543805.5,5139751432.78,3039517299.76
2018-10-31,'000928,中钢国际,4.1,4.22,4.03,4.04,4.05,0.05,1.2346,1.3243,9841376,40590415.43,5152318062.2,3046948882.4
2018-10-30,'000928,中钢国际,4.05,4.06,3.97,4.02,4.0,0.05,1.25,0.6521,4846340,19507005.8,5089484915.1,3009790969.2
2018-10-29,'000928,中钢国际,4.0,4.04,3.96,4.03,4.02,-0.02,-0.4975,0.5111,3798460,15221925.68,5026651768.0,2972633056.0
2018-10-26,'000928,中钢国际,4.02,4.1,4.01,4.06,4.01,0.01,0.2494,0.7632,5671448,22911242.64,5051785026.84,2987496221.28
2018-10-25,'000928,中钢国际,4.01,4.04,3.85,3.95,4.05,-0.04,-0.9877,0.9938,7385409,29087565.83,5039218397.42,2980064638.64
2018-10-24,'000928,中钢国际,4.05,4.13,3.95,4.0,4.01,0.04,0.9975,0.9836,7309830,29495950.82,5089484915.1,3009790969.2
2018-10-23,'000928,中钢国际,4.01,4.09,3.97,4.05,4.06,-0.05,-1.2315,0.9443,7017375,28246879.07,5039218397.42,2980064638.64
2018-10-22,'000928,中钢国际,4.06,4.18,3.9,3.9,3.88,0.18,4.6392,1.3659,10151094,41071687.01,5102051544.52,3017222551.84
2018-10-19,'000928,中钢国际,3.88,3.91,3.7,3.75,3.79,0.09,2.3747,0.9217,6849481,26211034.18,4875852214.96,2883454064.32
2018-10-18,'000928,中钢国际,3.79,3.92,3.77,3.85,3.92,-0.13,-3.3163,0.9077,6745500,26009187.6,4762752550.18,2816569820.56
2018-10-17,'000928,中钢国际,3.92,3.96,3.82,3.94,3.85,0.07,1.8182,1.2398,9213745,35792337.25,4926118732.64,2913180394.88
2018-10-16,'000928,中钢国际,3.85,4.12,3.85,4.08,4.08,-0.23,-5.6373,1.2618,9377257,37401092.96,4838152326.7,2861159316.4
2018-10-15,'000928,中钢国际,4.08,4.26,4.05,4.19,4.18,-0.1,-2.3923,1.143,8494367,35046407.37,5127184803.36,3032085717.12
2018-10-12,'000928,中钢国际,4.18,4.35,3.98,4.3,4.38,-0.2,-4.5662,1.7687,13144346,54899041.38,5252851097.56,3106401543.52
2018-10-11,'000928,中钢国际,4.38,4.8,4.38,4.72,4.87,-0.49,-10.0616,1.8348,13635735,62268131.55,5504183685.96,3255033196.32
2018-10-10,'000928,中钢国际,4.87,4.91,4.81,4.85,4.85,0.02,0.4124,0.7221,5366158,26038770.84,6119948527.54,3619180745.68
2018-10-09,'000928,中钢国际,4.85,4.9,4.77,4.86,4.85,0.0,0.0,0.9282,6897720,33347346.0,6094815268.7,3604317580.4
2018-10-08,'000928,中钢国际,4.85,4.95,4.79,4.88,4.93,-0.08,-1.6227,0.9759,7252808,35319968.98,6094815268.7,3604317580.4
2018-09-28,'000928,中钢国际,4.93,4.97,4.92,4.94,4.92,0.01,0.2033,0.9162,6808690,33634872.1,6195348304.06,3663770241.52
2018-09-27,'000928,中钢国际,4.92,5.04,4.92,5.02,5.0,-0.08,-1.6,1.1578,8604539,42883290.18,6182781674.64,3656338658.88
2018-09-26,'000928,中钢国际,5.0,5.06,4.99,5.02,5.04,-0.04,-0.7937,1.3497,10030199,50382777.97,6283314710.0,3715791320.0
2018-09-25,'000928,中钢国际,5.04,5.06,4.97,5.0,5.04,0.0,0.0,0.8395,6239171,31274213.31,6333581227.68,3745517650.56
2018-09-21,'000928,中钢国际,5.04,5.04,4.95,5.0,4.99,0.05,1.002,1.5056,11188852,55975079.11,6333581227.68,3745517650.56
2018-09-20,'000928,中钢国际,4.99,5.08,4.95,4.95,4.98,0.01,0.2008,1.2994,9656401,48334315.21,6270748080.58,3708359737.36
2018-09-19,'000928,中钢国际,4.98,5.08,4.93,4.95,4.97,0.01,0.2012,1.5822,11757934,58766512.95,6258181451.16,3700928154.72
2018-09-18,'000928,中钢国际,4.97,5.01,4.72,4.75,4.76,0.21,4.4118,1.4416,10713378,52375531.23,6245614821.74,3693496572.08
2018-09-17,'000928,中钢国际,4.76,4.91,4.76,4.88,4.92,-0.16,-3.252,1.022,7595165,36587837.1,5981715603.92,3537433336.64
2018-09-14,'000928,中钢国际,4.92,5.01,4.91,5.0,4.99,-0.07,-1.4028,0.8224,6111966,30305460.06,6182781674.64,3656338658.88
2018-09-13,'000928,中钢国际,4.99,5.0,4.91,4.98,4.94,0.05,1.0121,0.8509,6323600,31362705.0,6270748080.58,3708359737.36
2018-09-12,'000928,中钢国际,4.94,5.01,4.91,4.94,4.97,-0.03,-0.6036,0.7804,5799346,28754406.33,6207914933.48,3671201824.16
2018-09-11,'000928,中钢国际,4.97,4.98,4.84,4.9,4.94,0.03,0.6073,0.977,7260697,35682556.58,6245614821.74,3693496572.08
2018-09-10,'000928,中钢国际,4.94,5.13,4.94,5.13,5.11,-0.17,-3.3268,1.3669,10158143,50869563.39,6207914933.48,3671201824.16
2018-09-07,'000928,中钢国际,5.11,5.12,4.98,5.03,5.06,0.05,0.9881,1.823,13547453,68675333.91,6421547633.62,3797538729.04
2018-09-06,'000928,中钢国际,5.06,5.08,4.96,4.98,5.0,0.06,1.2,1.2531,9312795,46687483.01,6358714486.52,3760380815.84
2018-09-05,'000928,中钢国际,5.0,5.16,4.99,5.16,5.16,-0.16,-3.1008,1.7083,12695402,64299901.14,6283314710.0,3715791320.0
2018-09-04,'000928,中钢国际,5.16,5.22,5.09,5.1,5.12,0.04,0.7813,1.3061,9706690,50057268.24,6484380780.72,3834696642.24
2018-09-03,'000928,中钢国际,5.12,5.19,5.03,5.15,5.19,-0.07,-1.3487,1.5636,11620095,59101169.15,6434114263.04,3804970311.68
2018-08-31,'000928,中钢国际,5.19,5.26,5.14,5.18,5.21,-0.02,-0.3839,1.4989,11138966,57870232.44,6522080668.98,3856991390.16
2018-08-30,'000928,中钢国际,5.21,5.41,5.2,5.4,5.39,-0.18,-3.3395,2.4212,17993692,95085235.06,6547213927.82,3871854555.44
2018-08-29,'000928,中钢国际,5.39,5.49,5.35,5.47,5.49,-0.1,-1.8215,1.7435,12957032,69855409.0,6773413257.38,4005623042.96
2018-08-28,'000928,中钢国际,5.49,5.57,5.4,5.5,5.51,-0.02,-0.363,2.5565,18998993,104042300.15,6899079551.58,4079938869.36
2018-08-27,'000928,中钢国际,5.51,5.56,5.33,5.39,5.39,0.12,2.2263,3.2886,24439733,133733691.07,6924212810.42,4094802034.64
2018-08-24,'000928,中钢国际,5.39,5.58,5.36,5.41,5.42,-0.03,-0.5535,3.151,23416952,128191198.1,6773413257.38,4005623042.96
2018-08-23,'000928,中钢国际,5.42,5.52,5.33,5.44,5.42,0.0,0.0,2.7559,20480822,111310279.78,6811113145.64,4027917790.88
2018-08-22,'000928,中钢国际,5.42,5.54,5.38,5.52,5.6,-0.18,-3.2143,2.9862,22192136,120852054.45,6811113145.64,4027917790.88
2018-08-21,'000928,中钢国际,5.6,5.67,5.23,5.3,5.32,0.28,5.2632,5.5791,41461652,226952932.55,7037312475.2,4161686278.4
2018-08-20,'000928,中钢国际,5.32,5.44,5.16,5.36,5.41,-0.09,-1.6636,3.7125,27589689,145768182.19,6685446851.44,3953601964.48
2018-08-17,'000928,中钢国际,5.41,5.54,5.3,5.42,5.54,-0.13,-2.3466,5.5668,41370326,223472261.58,6798546516.22,4020486208.24
2018-08-16,'000928,中钢国际,5.54,5.81,5.31,5.38,5.45,0.09,1.6514,10.6161,78894469,439238890.63,6961912698.68,4117096782.56
2018-08-15,'000928,中钢国际,5.45,5.45,5.32,5.45,4.95,0.5,10.101,6.8108,50615164,275415198.93,6848813033.9,4050212538.8
2018-08-14,'000928,中钢国际,4.95,4.97,4.87,4.9,4.93,0.02,0.4057,0.8713,6475457,31865897.54,6220481562.9,3678633406.8
2018-08-13,'000928,中钢国际,4.93,5.01,4.81,5.0,5.05,-0.12,-2.3762,1.3916,10342133,50653557.06,6195348304.06,3663770241.52
2018-08-10,'000928,中钢国际,5.05,5.11,5.01,5.09,5.11,-0.06,-1.1742,1.231,9148218,46201592.46,6346147857.1,3752949233.2
2018-08-09,'000928,中钢国际,5.11,5.15,4.99,5.02,5.03,0.08,1.5905,1.6754,12451033,63363949.58,6421547633.62,3797538729.04
2018-08-08,'000928,中钢国际,5.03,5.12,4.98,5.04,5.08,-0.05,-0.9843,1.501,11154498,56241459.2,6321014598.26,3738086067.92
2018-08-07,'000928,中钢国际,5.08,5.09,4.83,4.92,4.92,0.16,3.252,1.7227,12802077,63823181.09,6383847745.36,3775243981.12
2018-08-06,'000928,中钢国际,4.92,4.98,4.7,4.86,4.89,0.03,0.6135,1.4254,10592791,51528357.06,6182781674.64,3656338658.88
2018-08-03,'000928,中钢国际,4.89,5.06,4.87,5.02,5.02,-0.13,-2.5896,1.6206,12043665,59906940.66,6145081786.38,3634043910.96
2018-08-02,'000928,中钢国际,5.02,5.28,4.84,5.25,5.21,-0.19,-3.6468,3.0059,22338466,112700196.82,6308447968.84,3730654485.28
2018-08-01,'000928,中钢国际,5.21,5.54,5.21,5.5,5.46,-0.25,-4.5788,2.0262,15057966,81188809.12,6547213927.82,3871854555.44
2018-07-31,'000928,中钢国际,5.46,5.54,5.37,5.5,5.54,-0.08,-1.444,1.8295,13596278,73842741.2,6861379663.32,4057644121.44
2018-07-30,'000928,中钢国际,5.54,5.66,5.46,5.46,5.49,0.05,0.9107,2.4071,17888663,99263844.79,6961912698.68,4117096782.56
2018-07-27,'000928,中钢国际,5.49,5.62,5.42,5.49,5.55,-0.06,-1.0811,2.061,15316624,84832993.94,6899079551.58,4079938869.36
2018-07-26,'000928,中钢国际,5.55,5.7,5.53,5.65,5.67,-0.12,-2.1164,2.6519,19707906,110601893.28,6974479328.1,4124528365.2
2018-07-25,'000928,中钢国际,5.67,5.67,5.5,5.6,5.6,0.07,1.25,3.5423,26324584,146992560.74,7125278881.14,4213707356.88
2018-07-24,'000928,中钢国际,5.6,5.78,5.54,5.58,5.56,0.04,0.7194,6.3159,46936772,265616681.1,7037312475.2,4161686278.4
2018-07-23,'000928,中钢国际,5.56,5.61,5.23,5.31,5.34,0.22,4.1199,5.25,39015442,213674976.47,6987045957.52,4131959947.84
2018-07-20,'000928,中钢国际,5.34,5.34,5.12,5.32,5.3,0.04,0.7547,2.5169,18704741,97911100.76,6710580110.28,3968465129.76
2018-07-19,'000928,中钢国际,5.3,5.39,5.2,5.21,5.26,0.04,0.7605,3.6047,26788488,142569350.22,6660313592.6,3938738799.2
2018-07-18,'000928,中钢国际,5.26,5.45,5.08,5.13,5.1,0.16,3.1373,5.0696,37675335,200628875.09,6610047074.92,3909012468.64
2018-07-17,'000928,中钢国际,5.1,5.15,5.03,5.12,5.14,-0.04,-0.7782,1.4956,11114536,56476881.24,6408981004.2,3790107146.4
2018-07-16,'000928,中钢国际,5.14,5.26,5.09,5.23,5.25,-0.11,-2.0952,1.7141,12738221,65473732.76,6459247521.88,3819833476.96
2018-07-13,'000928,中钢国际,5.25,5.33,5.17,5.29,5.32,-0.07,-1.3158,2.1967,16325051,85383947.1,6597480445.5,3901580886.0
2018-07-12,'000928,中钢国际,5.32,5.35,5.14,5.14,5.18,0.14,2.7027,2.9811,22154643,116630684.3,6685446851.44,3953601964.48
2018-07-11,'000928,中钢国际,5.18,5.26,4.98,5.26,5.33,-0.15,-2.8143,3.1826,23651663,121300501.85,6509514039.56,3849559807.52
2018-07-10,'000928,中钢国际,5.33,5.36,5.22,5.33,5.35,-0.02,-0.3738,2.432,18073670,95712515.68,6698013480.86,3961033547.12
2018-07-09,'000928,中钢国际,5.35,5.39,5.17,5.2,5.27,0.08,1.518,3.16,23483655,124639529.01,6723146739.7,3975896712.4
2018-07-06,'000928,中钢国际,5.27,5.4,5.03,5.1,5.15,0.12,2.3301,4.2759,31776708,165991388.22,6622613704.34,3916444051.28
2018-07-05,'000928,中钢国际,5.15,5.4,5.08,5.24,5.32,-0.17,-3.1955,3.7033,27521061,143905820.4,6471814151.3,3827265059.6
2018-07-04,'000928,中钢国际,5.32,5.5,5.23,5.5,5.49,-0.17,-3.0965,6.1528,45725332,244826360.09,6685446851.44,3953601964.48
2018-07-03,'000928,中钢国际,5.49,5.49,4.95,4.95,4.99,0.5,10.02,6.3065,46867121,248061833.48,6899079551.58,4079938869.36
2018-07-02,'000928,中钢国际,4.99,5.06,4.91,5.06,5.07,-0.08,-1.5779,2.039,15153058,75860099.19,6270748080.58,3708359737.36
